input,output,label
新京报记者从北京市发改委获悉，首都机场已处于超饱和运行状态，大兴国际机场的开通，将提升首都航空服务能力。,The Beijing News reporter learned from the Beijing Municipal Development and Reform Commission that the Capital Airport is already in a state of oversaturated operation. The opening of Daxing International Airport will enhance the capital's air service capacity.,1
这是“卡尔·文森”号航母首次搭载F-35C战斗机和CMV-22“鱼鹰”舰载运输机进行部署。,It is estimated by the platform that USS Carl Vinson will go to the South China Sea and deploy there.,0
阮氏金银女士在授勋仪式上发表讲话时强调，越老两个民族之间密不可分的关系是从源远流长的历史进程中形成的，越南与老挝两国人民之间的良好传统友谊、始终如一以及无私的关系由胡志明主席和凯山·丰威汉主席亲手缔造和两党、两国历届领导和人民精心培育的，成为两国无价之宝。,"In her speech at the award ceremony, Nguyen Thi gold silver stressed that the inextricable relationship between the two ethnic groups was formed from a long historical process. The good traditional friendship, consistent and selfless relationship between the peoples of Vietnam and Laos was created by President Ho Chi Minh and President Kaishan Feng Weihan and carefully cultivated by the leaders and people of the two parties and the two countries, and has become a priceless treasure of the two countries.",0
甚至看完后你会怀疑这里面是否有导演暗含的隐喻，但当你仔细思考之后发现它其实就是一坨屎。,"After watching it, you will wonder if there is any metaphor implied by the director, but when you think more about it, it is actually a piece of shit.",1
由于被告人家庭贫困，检察机关启用替代性劳动补偿生态修复费用，实现了法律效果和社会效果的有机统一。,"Due to the poverty of the defendant's family, the procuratorial organ used alternative labor to compensate for the cost of ecological restoration, thus achieving the organic unity of legal effect and social effect.",1
在本周一的气候行动峰会上，小岛屿国家共同致力于在2030年前实现碳中和100％可再生能源，由此它们再次引领世界朝着正确的方向迈进。,"At the Climate Action Summit on Monday, small island countries jointly committed themselves to achieving carbon neutrality and 100% renewable energy by 2030, so that they once again lead the world in the right direction.",1
但是，已经过了 1 小时了,"However, it's been over an hour",1
据介绍，GCash将同菲律宾环境与自然资源部、环保公益组织等携手，计划在项目启动一年内在菲律宾境内种下36.5万棵树。,"According to introduction, GCash will work with the Ministry of Environment and Natural Resources of the Philippines, environmental public welfare organizations and others to plan to plant 365,000 trees in the Philippines within one year of the start of the project.",1
逾期申请初始注册时，须符合本规定继续教育要求。,Late applications for initial registration must meet the continuing education requirements of this regulation.,1
26日晚，中国驻印尼使馆、中国驻东盟使团在雅加达举办庆祝中华人民共和国成立70周年招待会。,"On the evening of the 26th, the Chinese Embassy in Indonesia and the Chinese Mission in ASEAN held a reception in Jakarta to celebrate the 70th anniversary of the founding of the People's Republic of China.",1
参加网络继续教育的造价工程师在报名时须向各管理机构交纳学习费用，一般情况标准为:30学时必修课的费用为300元/人年(含继续教育统一教材);,"Cost engineers who participate in online continuing education must pay the study fee to each administrative organization when they enroll, and the general standard is: The cost of the 30-hour compulsory course is 300 yuan per person-year (including the unified teaching materials for continuing education);",1
这并非巧合。,This is no coincidence.,0
作为世界上最大的发展中国家，中国把应对气候变化视作自身可持续发展的内在要求和构建人类命运共同体的责任担当，将继续克服自身发展面临的诸多困难挑战，坚定维护多边主义，落实国际承诺，全力推动《巴黎协定》全面有效落实。,"As the world's largest developing country, China takes climate change response as its internal requirement for sustainable development and assumes the responsibility for building a community with a shared future for mankind. It will continue to overcome many difficult challenges facing its own development, firmly maintain multilateralism, implement international commitments, and fully promote the full and effective implementation of the Paris Agreement.",0
救助款常常不能顺利送达六四难属手中。,Relief funds often cannot be delivered smoothly to the people who are difficult to reach on June 4th.,0
10月15日，决赛入围者名单公布，最终获奖者名单将于11月11日（英国夏令时）线上公布。,"The finalists were announced on October 15, and the final winners will be announced online on November 11 (British Summer Time).",1
如果这是太空堡垒卡拉狄加中的剧情 而你正和赛昂人战斗， 不要躲在黑洞后面。,"If this were Battlestar Galactica and you're fighting the Cylons, don't hide behind the black hole.",1
特别是中共十八大以来，中国发展取得历史性成就、发生历史性变革，中华民族迎来了从站起来、富起来到强起来的伟大飞跃，比历史上任何时候都更接近民族复兴的伟大目标。,"Especially since the 18th National Congress of the Communist Party of China, China's development has achieved historic achievements and historical changes. The Chinese nation has ushered in a great leap from standing up, getting rich, and becoming stronger. It is closer to the great goal of national rejuvenation than at any time in history.",1
多数会导致我们患上花粉热的花粉 来自那些用风来 传播花粉的植物。 这是个非常低效的过程， 这也是为什么花粉总是跑到我们鼻子里。,"Most of the pollen that causes us to get hay fever comes from plants that use wind to spread pollen, which is a very inefficient process, and that's why pollen always ends up in our noses.",1
澳大科技学院院长须成忠宣读江朝晖赞辞时表示，江朝晖女士参与研发的重大发明和专利，至今累积超过15项与存储虚拟化、导航、文件系统和电源管理相关，无不实用性高，使用广泛，提升人类生活便利度。,"When reading Jiang Zhaohui's praise speech, Xu Chengzhong, Dean of the Australian College of Science and Technology, said that the major inventions and patents developed by Ms. Jiang Zhaohui have accumulated more than 15 items related to storage virtualization, navigation, file system and power management, all of which are highly practical and widely used to improve the convenience of human life.",1
喜欢流星雨的朋友可在后半夜月落后的这几个小时进行观测，但要注意防寒保暖 。 ”,"People who like meteor showers can observe it in a few of hours after moon falling in the second half of the night, but please keep warm. ”",1
如今，以羊入股的140户贫困户，每年每户分红6000元以上，有4名建档立卡扶贫对象在合作社打工。,"Today, 140 poor households with sheep in shares pay a dividend of more than 6,000 yuan per household per year, and 4 poverty relief targets work in cooperatives.",0
洁面乳霜怎么样好用吗？,How to use cleansing cream?,0
作为卓有成就的发明家，江女士往往能把高深的科技和理论化繁为简，普及大众。,"As an accomplished inventor, Jiang Nvshi can simplify and popularize advanced technology and theory.",0
（亚庇11日讯）沙巴国民登记局说，由于特制防伪纸存货用光，所以自10月初开始就无法颁发报生纸给初生婴儿，至今累积的受影响者达3200人。,"(Kota Kinabalu, 11th) The National Registration Office of Sabah said that due to the shortage of special anti-counterfeiting paper, it has been impossible to issue raw paper to newborn babies since the beginning of October, and the cumulative number of affected people has reached 3,200 so far.",0
全新原装，性价比超高的一款游戏笔记本电脑，设计风格很不错已经安装了windows11和office2019,"Brand new and original, cost-effective gaming laptop, the design style is very good has installed windows11 and office2019",1
它的雄蕊 有大约一英尺长。,Its stamens are about a foot long.,1
截至目前，已收集800多家规上工业企业智能化改造需求信息，占全市规模以上工业企业数近三分之一。,"So far, it has collected information on the intelligent transformation needs of more than 800 industrial enterprises, accounting for nearly one-third of the industrial enterprises above the size of the city.",0
云南省人社厅有关负责人介绍，目前，云南共开发44.83万个乡村公益性岗位，用于安置脱贫劳动力等农村困难群体就业，在帮助脱贫群众实现就业增收、巩固脱贫攻坚成果、有效提升乡村各项公共服务能力等方面发挥重要作用。,"According to the relevant person in charge of the Yunnan Provincial Department of Human Resources and Social Security, at present, Yunnan has developed a total of 448,300 rural public welfare jobs, which are used for the placement of poverty-stricken laborers and other rural groups in difficulty. It plays an important role in various public service capabilities.",0
收到了，但我的 3 杯饮品全都洒出来了,"I got it, but my three drinks were all spilled out.",1
这些措施包括放宽对旅游业议会的拨款、资助6000名导游续牌报读课程、旅行代理商获豁免年费等。,"These measures include relaxing funding for the Tourism Council, subsidizing 6,000 tour guides to renew their licenses for courses, and exempting travel agents from annual fees.",0
门口总是要等很久才能吃上的煲仔饭，煲仔饭的砂锅都开裂了…,It always takes a long time to eat pot rice at the door. The casserole of pot rice is cracked...,0
"比赛一开始,两位少年就拼尽全力快速拔出小杆,在大杆上的持久对抗让现场观众为他们捏了一把汗。","At the beginning of the competition, the two teenagers made every effort to quickly pull out the small pole, and the long - lasting confrontation on the big pole made the audience sweat for them.",1
阿里说，他的公司阿姆拉克总承包不必经过法定投标过程，就可以得到获利丰厚的合约，强调军方和包括第一夫人殷蒂萨（Intissar Amer al-Sisi）在内的塞西亲人贪腐成风。,"Ali said that his company’s general contracting for Amrak did not have to go through a statutory bidding process to obtain a lucrative contract, emphasizing the military and Sisi’s relatives, including the first lady Intissar Amer al-Sisi Corruption prevails.",0
“他错了 … … 应辩人在开除申请人时完全无视给予她任何自然公正的待遇，令人震惊的是，他无礼和极度不公的敷衍行为 。 ”,"""He was wrong... The defender completely ignored any natural and just treatment given to her when he dismissed the applicant. It was shocking that he was rude and extremely unfair.""",0
这座创造了40余项国际、国内第一，国产化率达到98%以上的新机场，必将对周边地区的产业产生直接、间接的经济影响，为北京经济发展注入临空活力。,"This new airport, which has created more than 40 international and domestic firsts and has a localization rate of over 98%, will surely have a direct and indirect economic impact on the industries in the surrounding areas and inject vitality into Beijing's economic development.",0
新华社深圳9月27日电（记者 赵瑞希）27日中小板指高开高走，最终报收6077.23点，比上个交易日上涨87.55点，涨幅1.46 % 。,"Xinhua News Agency, Shenzhen, September 27 (Reporter Zhao Ruixi) On the 27th, the small and medium-sized board index opened high and closed at 6,077.23 points, up 87.55 points or 1.46% from the previous trading day.",0
我国经济发展和疫情防控保持全球领先地位，发展韧性强、潜力大、动力足的特点持续显现；国家战略科技力量加快壮大，重大创新成果竞相涌现，科技创新能力持续提升，关键核心技术攻关实现新突破；产业链韧性得到提升，对外贸易量增质升，结构继续优化，以新产业新业态新模式为代表的新动能成长壮大；改革开放向纵深推进，着力打通制约供需适配和要素流动的堵点，以高水平对外开放打造合作竞争新优势；民生保障有力有效，就业规模持续扩大，居民收入增长与经济增长基本同步，全年粮食连续7年保持在1.3万亿斤以上，喜获“十八连丰 ” ； 生态文明建设持续推进，碳达峰碳中和工作统筹推进，绿色低碳转型步伐稳健，生态环境保护取得新成效。,"China's economic development and epidemic prevention and control have maintained a leading position in the world, and the characteristics of strong development resilience, great potential and sufficient motivation continue to appear; The national strategic scientific and technological force has accelerated its growth, major innovative achievements have emerged, the scientific and technological innovation ability has been continuously improved, and new breakthroughs have been made in tackling key core technologies; The resilience of the industrial chain has been improved, the volume and quality of foreign trade have increased, the structure has continued to be optimized, and new momentum represented by new industries, new formats and new models has grown and expanded; Reform and opening up have been pushed forward in depth, efforts have been made to break through the blocking points that restrict the adaptation of supply and demand and the flow of factors, and opening up at a high level has created new advantages in cooperation and competition; People's livelihood has been effectively guaranteed, the scale of employment has continued to expand, the growth of residents' income has",0
"而运动助理林小宅则是花式助攻,她毫不掩饰对颜值实力在线的少年们的欣赏。","The sports assistant Lin Xiaozhai is a fancy assist, and she does not hide her appreciation for the young people who value their strength online.",0
新化红茶一抹红，注入了茶文化内涵，人气旺、交易火，湘茶产业喜迎新的春天。,"Xinhua black tea has a red touch, infused with tea culture connotation, which is highly popular and hot in trade. The Hunan tea industry welcomes the new spring.",0
今天是冬至节日，送错比较让人失望,"Today is the winter solstice festival, it is disappointing to send it wrong",1
从地球发出的光，一部分落入黑洞， 但还有一部分被黑洞弯折后被我们看到。,"The light coming from the Earth, part of it falls into the black hole, but there is also a part that is seen by us after being bent by the black hole.",1
另一个公民自由组织共同事业组织星期四提出诉讼，对特朗普的行政令提出挑战。,"Common Cause, another civil rights organization, filed a lawsuit on Thursday to challenge Trump’s executive order.",1
马克龙列举出移民政策的四项重点：向需要保护的难民尽快颁发庇护资格；更高效地推动移民融入；接待并保护所有进入法国领土的移民；更高效地重新安置非法进入法国并不宜停留的人。,Macron listed four key points of the immigration policy: To grant asylum to refugees in need of protection as soon as possible; to promote the integration of immigrants more efficiently; to receive and protect all immigrants who enter French territory; and to resettle more efficiently those who enter France illegally and are not fit to stay.,1
此外，近日来我驻多国使领馆也在当地举行多种活动，与当地友好人士共庆新中国成立70周年。,"In addition, in recent days, our embassies and consulates in many countries have also held various activities on the ground to celebrate the 70th anniversary of the founding of New China with local friends.",0
【诺拉图书】正版6册，祖庆说，百班千人，二年级课外书，一块巧克力，爷爷是个笨小孩，说学逗唱二十四节气，清冬见远山饺子，和汤圆绘本我的奶奶,"[Nora Books] Genuine 6 volumes, Zu Qing said, hundreds of classes, thousands of students, extracurricular books for the second grade, a piece of chocolate, grandpa is a stupid child, said to learn to sing the twenty-four solar terms, see distant mountain dumplings in the clear winter, and a picture book of tangyuan my grandma",0
女孩街头“箭靶”募捐被告诫,A school girl was admonished to collect donations from street “target”,1
特鲁多算是搬起石头砸了自己的脚。,Trudeau lifted a stone and threw it at his own feet.,1
甘肃中盛农牧发展有限公司总顾问徐建峰说，企业通过为贫困户提供贷款担保、种羊供给、订单养殖、报价收购、统一加工销售等服务，带动越来越多贫困户念“羊经 ” 。,"Xu Jianfeng, general consultant of Gansu Zhongsheng Agricultural and Pastoral Development Co., Ltd., said that by providing poor households with loan guarantees, sheep supply, order farming, quotation acquisition, unified processing and sales services, enterprises have driven more and more poor households to read the ""sheep scripture"".",0
怎么办,what to do,1
“ 香港新闻界庆祝中华人民共和国成立七十周年酒会”27日在港举行。,"The ""Hong Kong Press Celebration of the 70th Anniversary of the Founding of the People's Republic of China"" was held in Hong Kong on 27th.",0
白俄罗斯副总理伊戈尔•利亚申科对越南兴安省进行工作访问。,"Igor Liashenko, Deputy Prime Minister of Belarus, paid a working visit to Xing'an Province, Vietnam.",0
据悉 ， “ 爱家创酷”儿童未来学习嘉年华包括“豆果创客”体验活动、老牛儿童探索馆周年庆暨“探索全家爱 童萌过六一”活动、ＶＲ全民体验计划 、 “ 创客部落”互动工作坊等几十项前沿科技体验内容。,"It is reported that the ""Love Family and create Cool"" Children's Future Learning Carnival includes dozens of cutting-edge scientific and technological experiences, such as the ""Bean Fruit Maker"" experience activity, the anniversary of the old cow Children's Exploration Center and the ""Exploring the Family's Love for Children's Day"" activity, the VR National experience Program, and the ""Creator Tribe"" interactive workshop.",0
今年53岁的李代国接受中新网记者采访时说，爷爷辈就在龙溪河打鱼，自己11岁起就跟着父亲打鱼，摇着小船，沿着龙溪河前行，上到重庆梁平，下到长寿，每次一离开家就是十天半个月，靠打鱼维持家人生活。,"Li Daiguo, 53, said in an interview with CNN that his grandfather's generation fished in Longxi River, and he followed his father's fishing since he was 11 years old, rocking a small boat and traveling along Longxi River, up to Chongqing Liangping and down to Changshou, each time he left home for 10 days and half a month, relying on fishing to sustain his family's life.",0
但路透社报导，哈利和梅根已和这本书撇清关系，说他们未接受作者访问，也未提供任何内容。,"However, Reuters reported that Harry and Meghan had disassociated themselves from the book, saying that they had not accepted the author’s interview or provided any content.",1
我家人以为没有,My family thought no,1
考虑到浦东经济外向度高的特点，上海市场监管部门将外国（地区）企业常驻代表机构的登记事权下放给上海自贸区，方便企业就近办理。,"Considering the high outward-looking characteristics of Pudong's economy, the Shanghai market regulatory department has delegated the registration of the permanent representative offices of foreign (regional) enterprises to the Shanghai Pilot Free Trade Zone to facilitate enterprises to handle them nearby.",1
首先日本税前工资差距比较小。,"First, the pre-tax wage gap in Japan is relatively small.",0
同时，号召全市党员干部学习他恪尽职守、敢于担当、主动作为、乐于奉献的精神。,"At the same time, party members and cadres in the city are called upon to learn from his spirit of conscientiousness, courage to take responsibility, initiative and dedication.",1
李先生一开始以为是足浴盆的振动功能引起的，没想到关了振动功能，父亲还是感觉到脚底麻麻的。,"Mr. Li at first thought that the footbath vibration function caused, did not expect to turn off the vibration function, the father still felt the soles of his feet tingling.",0
隋忠诚要求，从六个方面抓好生猪生产各项措施落实。,Sui's loyalty requires that all measures for pig production be implemented from six aspects.,0
还送错,It was also sent wrong.,0
那如果这些食物不热的话，是不是可以取消？,"So if these foods are not hot, can they be cancelled?",1
7月24日，江西省九江市湖口县，驰援当地抗洪的中国人民解放军第71集团军某部官兵利用备勤间隙，帮助湖口县一蔬菜种植专业合作社抢收辣椒。,"On July 24, in Hukou County, Jiujiang City, Jiangxi Province, officers and soldiers of a certain unit of the 71st Army of the Chinese People's Liberation Army, who fought floods in the local area, took advantage of the spare time to help a vegetable planting professional cooperative in Hukou County rush to harvest peppers.",1
王成指出，举办人才峰会是贯彻落实中央人才工作会议和省第十二次党代会精神的重要举措，彰显了湖南重视人才、渴求人才、用好人才的真心诚意。,"Wang Cheng pointed out that holding the talent summit is an important measure to implement the spirit of the Central Talent Work Conference and the provincial party congress, which demonstrates Hunan’s sincerity in valuing, seeking, and taking advantage of talents.",1
一审判决后，原告提起上诉。,"After the first-instance judgment, the plaintiff filed an appeal.",1
用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"In terms of the level of preparation for the coming of AI, cities were ranked based on four key criteria, including the prospect, the execution ability; the asset base and the development trajectory.",0
初榨橄榄油或称为天然橄榄油，是直接从新鲜的橄榄果实中采取机械冷榨、经过过滤等处理除去异物后得到的油脂。,"Virgin olive oil, or natural olive oil, is the oil obtained directly from fresh olive fruits by mechanical cold pressing and filtering to remove foreign matter.",1
我认为它有时是狡猾的。,I think it's sometimes cunning.,1
江西省财政厅相关负责人26日称，在汛期到来之前，已下达各类防灾减灾资金1.73亿元，确保风险防患早发现、早处置、早化解，为抗洪抢险工作提供经费支持。,"The relevant person in charge of the Jiangxi Provincial Department of Finance said on the 26th that before the arrival of the flood season, 173 million yuan of various disaster prevention and mitigation funds had been issued to ensure early detection, early disposal and early resolution of risks, and to provide financial support for flood prevention and rescue work.",1
就像金庸小说中，少林寺藏经阁那位扫地僧，虽拥惊世武学，不炫不矜，无喜无悲。,"Just like in Jin Yong's novels, the sweeping monk in the Sutra Collection Pavilion of Shaolin Temple, although he has amazing martial arts, is not dazzling, not proud, not happy or sad.",1
灾情就是命令，灾区就是战场，灾害面前，党旗就是战旗，各级党组织、广大党员干部、人民子弟兵坚决落实习近平总书记关于防汛救灾工作重要指示精神，迅速投身防汛抗洪抢险救灾第一线，成为灾区群众的主心骨、抗洪战斗的生力军。,"The disaster situation is the order, the disaster area is the battlefield, and the party flag is the battle flag in the face of the disaster. Party organizations at all levels, the vast number of party members and cadres, and the people's children and soldiers resolutely fell into practice. General Secretary Jin Ping's important instructions on flood prevention and disaster relief work quickly joined the flood prevention and relief frontline, and became the backbone of the masses in the disaster area and a vital force in the fight against floods.",0
我#PRS_ORG#买了，但是我写错了地址,I bought it via #PRS_ORG# but I wrote the wrong address,1
那个骑手刚才去错了地方，所以我没有收到,"The rider went to the wrong place just now, so I didn't receive it",1
游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,1
今年以来遭受飓风袭击的巴布达、多米尼加以及巴哈马的灾情都说明了这一点。,"This is illustrated by the disasters in Babuda, Dominicana and the Bahamas, which have been hit by hurricanes this year.",0
Sams先生说，虽然Foodworks是一家小企业 ， “ 但必须坦率地说，任何正派的雇主，都不会以本案中承认的极其不公平和敷衍的方式来解雇员工 。 ”,"Mr. Sams noted that although Foodworks runs a small business, ""I have to be frank that no decent employer will sack their employees in an extremely unfair and careless way as acknowledged in this case.""",1
调查负责人、密歇根大学经济学教授理查德·柯廷日前表示，在最近一次调查中，38%的消费者自发提及关税给美国经济带来的负面影响，这一比例是一年半来的新高。,"Richard Curtin, head of the survey and professor of economics at the University of Michigan, said recently that in the latest survey, 38% of consumers spontaneously mentioned the negative impact of tariffs on the US economy. This proportion is the highest in a year and a half.",1
省内茶界加大创新，绿茶、黑茶、红茶等主力茶类轮番发力，主产茶区推进茶旅融合，带动广大茶农增收。,"Tea sector in the province is stepping up innovation and the main tea types like green tea, dark tea and black tea are taking turns to develop, and the main tea production areas are promoting the integration of tea and tourism, which will drive the majority of tea farmers to increase their incomes.",0
自取地址在哪里？,Where is the pick-up address?,1
截至目前，已收集800多家规上工业企业智能化改造需求信息，占全市规模以上工业企业数近三分之一。,"Up to now, requests from more than 800 industrial enterprises above the designated scale, nearly one-third across the city, have been collected.",1
条例结合西宁实际，从公共场所、公共秩序、公共设施、公共环境卫生、文明出行、文明旅游、文明上网、建设文明校园、促进文明家庭建设、执行公务、纪念英雄烈士、医疗服务等多个方面，对个人和单位的文明行为准则提出了较为全面和较高标准的要求，让全社会明白“能做什么 ” “ 倡导什么”和“禁止什么 ” 。,"Addressing the reality of Xining, the regulations consider various aspects including public places, public order, public facilities, public health, civilized travel, civilized tourism, civilized internet, the construction of civilized campus, the promotion of the construction of civilized family, the performance of official duties, the commemoration of heroes and martyrs, and medical services. They also put forward requirements for civilized behavior of individuals and institutions that are more comprehensive and of higher standards, so that everybody in the society understand what they can do, what they are encouraged to do, and what they shouldn’t do.",0
日前中国驻波黑大使季平在萨拉热窝奥林匹克中心会见波黑奥委会主席克韦西奇。,"Ji Ping, Chinese Ambassador to Bosnia and Herzegovina, met with President of the Bosnian Olympic Committee Ji Ping at the Sarajevo Olympic Center.",1
"他们既是来自各学科的青年知识榜样,还是一群会抖包袱、擅长寓教于乐的全能“段子手”。","They are not only young knowledge role models from various disciplines, but also a group of all-round "" paragraph players "" who can shake burdens and are good at teaching and fun.",0
疫情发生后，天山区总第一时间投入经费105万余元，紧急下拨给23个直属基层工会。,"After the outbreak of the epidemic, Tianshan District immediately invested more than 1.05 million yuan and allocated it to 23 directly affiliated grassroots trade unions.",1
逛书市时，往往能感受到成功学类书籍的火爆。,"When you visit the book market, you can often feel the fire of success books.",0
身高1.92米的齐晓光，站在方队里格外显眼。,"Qi Xiaoguang, who is 1.92 meters tall, is particularly prominent in the square team.",1
衣服尽量选用浅色、透气性好的棉、麻、丝类质地，少穿化纤品类服装，以免大量出汗时不能及时散热，引起中暑。,"Choose light-colored, breathable cotton, linen, and silk as much as possible for clothes, and wear less chemical fiber clothing, so as not to lose heat in time when you sweat a lot, causing heat stroke.",0
出席招待会的有长期在华工作的外国老专家，在华工作的外国专家代表及配偶，中央和国家机关有关部门、北京市的负责同志，共约1800人。,"At the reception, there were about 1,800 foreign experts working in China for a long time, representatives of foreign experts working in China and their spouses, responsible comrades of relevant departments of the central and state organs, and Beijing.",0
实用商务英语口语情景100+ 商务英语口语大百科（附赠多重口语学习赠品）,Practical Business English Spoken Scenarios 100+Business English Spoken Encyclopedia (with multiple oral learning gifts),0
自动驾驶初创企业小马智行也在广东省广州市启动了试运营。,"Ma Zhixing, a self-driving startup, also launched a trial operation in Guangzhou, a city in the province.",0
化妆师特别细腻，会根据你的风格搭配出适合你的妆容，化妆品用的也都是一线的大牌子。,"The makeup artist is very delicate, and will match the makeup that suits you according to your style, and the cosmetics are all first-line big brands.",0
作为常任理事国，中国在安理会的这一票始终属于包括非洲国家在内的广大发展中国家。,"As a permanent member, China's vote in the Security Council has always belonged to a large number of developing countries, including African countries.",1
成都大熊猫繁育研究基地改扩建后，规模将达3525亩，总体定位为世界级大熊猫保护示范地，人与动物美好时光共享地。,"After expansion, the research base will be expanded to 3525mu, and will be developed as a world-class demonstration base for giant panda protection where humans and animals can have good times together.",1
事发地附近的天水派出所民警接受当地媒体采访时称，摆摊的女孩子共有两名，均为20岁左右，打扮得青春靓丽。,"In an interview with local media, the police from the Tianshui police station near the incident said that there were two girls in the stall, all about 20 years old, dressed in youthful beauty.",1
同时，他还承担着帮助同学修补破损作品的任务。,"At the same time, he also undertakes the task of helping his classmates repair damaged works.",1
“我们每个人都必须尽自己的一份力来减缓这一病毒的传播。”,""" Each of us must do our part to slow the spread of this virus. """,0
中新网广州9月27日电(郭军 徐婧)记者27日从广铁集团获悉，为满足国庆黄金周旅客出行需求，广铁集团将陆续增开热门方向列车，假日期间日均增开旅客列车总数达175趟，全面增加国庆黄金周客流高峰期间运力。,"Guangzhou, September 27 (Guo Jun Xu Jing) The reporter learned from Guangzhou Railway Group on September 27 that in order to meet the travel needs of passengers during the National Day Golden Week, Guangzhou Railway Group will gradually increase the number of popular direction trains. The total number of passenger trains per day during the holiday period will reach 175, comprehensively increasing the capacity during the peak passenger flow during the National Day Golden Week.",0
伊朗7月间已中止另外两项承诺，即将浓缩铀的存量保持在300公斤以下，以及浓缩铀的纯度不超过3.67 % ， 如今再有进一步举动。,"Iran suspended two other commitments in July, namely to keep the stock of enriched uranium below 300 kg and the purity of enriched uranium not exceeding 3.67%.",1
如果您对如何连接我们的芯片与进样系统有疑问，您可以参照以下链接https://zhuanlan.zhihu.com/p/60474873，或搜索“介观生科”公众号获取更多帮助。,"If you have any questions about how to connect our chip to the sample injection system, you can refer to the following link https://zhuanlan.zhihu.com/p/60474873 or search the official account of ""Mesobiology"" for more help.",1
延时运营期间，地铁1、2号线的运营时间将持续到次日凌晨，平均10分钟发一趟车。,"During the delayed operation period, the operation time of subway lines 1 and 2 will continue until the early hours of the next morning, with an average of 10 minutes.",0
朋友圈里都在发明月，原来今天竟是中秋。,"Friends in the circle are inventing the moon, it turned out that today is the Mid-Autumn Festival.",0
井壁墙体抗剪力远优于平摩擦砌体的砌筑形式。,The shear resistance of shaft walls is far superior to that of flat friction masonry.,1
我认为这一项目真的揭示出： 这真的可扩展么？,I think this project really reveals: Is this really scalable?,1
但是另外一个很重要的不同就是 他们如何实现较大平等的。,But another important difference is how they achieve greater equality.,1
收到了，但我的 3 杯饮品全都洒出来了,"Yes, but all three of my drinks have spilled",1
一天之计在于晨，所有的美好从清晨开始 希望你携带着快乐、幸运、健康、如意出发 开始新的一天，保持一整天的好心情 早安,"The plan of the day is in the morning, all the good things start in the morning. I hope you start a new day with happiness, luck, health and good luck, and keep a good mood all day. Good morning",0
我们无法知道其中发生了什么，不管是昆虫， 还是其他人类的脑中。,We can't know what's going on in -- let alone an insect's -- another human being's mind.,0
生活不会辜负每一个努力的人 ，喜欢就关注我吧 ，感谢那些默默给我点赞的人,"Life will not disregard every effort, please pay attention to me, thank those who silently praise me.",0
根据气温高低，一般人员每天喝1.5升至2升水，高温作业人员，每天喝3升至5升水。,"According to the temperature, the general staff drink 1.5 liters to 2 liters of water per day, high-temperature workers, drink 3 liters to 5 liters of water per day.",0
伊朗总统哈桑·鲁哈尼24日告诉媒体记者，伊朗愿意讨论伊核协议“小幅改动、补充或修正 ” ， 前提是美国解除制裁。,"Iranian President Hassan Rouhani told media reporters on the 24th that Iran is willing to discuss “small changes, additions or modifications” to the Iran nuclear agreement, provided that the United States lifts the sanctions.",1
平时有外卖，楼下管理处都会打电话，问完会先放人进来，可管理处未曾联系我啊,"Usually, if there is a delivery for me, the Management Office downstairs will call me and then ask the rider to deliver foods to me, but the Management Office did not contact with me today.",1
在2020年内，北江省工贸局参就定工业区、工业集群规划建言献策，以纳入省规划。,"Bac Giang Province has determined to combine the development of industrial park clusters with safeguarding national defense security, protecting the ecological environment, and ensuring food security, in turn boosting the balanced development of industry; it has comprehensive infrastructure such as electricity, water supply, transportation and telecommunications, and combines them with other social infrastructure such as urban construction, trade services, housing for workers and medical and health care, and education.",0
如果把2009年的地方网站论坛作为原点，25至27日在杭州举行的2019云栖大会已走过整整十年。,"If the 2009 local website forum is taken as the origin, the 2019 Cloud Conference held in Hangzhou from 25 to 27 has passed a full decade.",0
用户每养成一棵虚拟树 ， “ 蚂蚁森林”和公益伙伴就会在荒漠化地区种下一棵真树。,"Every time users form a virtual tree, ""Ant Forest"" and public welfare partners will plant a real tree in a desertified area.",1
如何在较短时间内努力跻身世界一流行列，在仍有一定差距的基础上加快建成若干所世界一流大学和一批世界一流学科，实现“弯道超车 ” ？,"How to work to rank among the world's most popular in a relatively short time, and speed up the construction of several world-class universities and a number of world-class disciplines on the basis of still a certain gap, to the ""curve overcar""?",0
没有问题，记得无须安排重送，我已另外购买，不想浪费,"No problem, remember there is no need to arrange for re-delivery, I have already purchased it separately and don't want to waste it",1
我国铁路最深竖井主井掘进到底。,The deepest shaft of China's railway is dug to the end.,0
就在“民主峰会”第二天日程进行的同时，美国财政部宣布对被认定严重侵犯人权的中国、朝鲜等几个国家的15名个人、10个实体依法实施制裁，同时对一家被认定利用监视技术协助侵犯人权的中国公司实施投资限制。,"At the same time as the second day of the Democracy Summit, the U.S. Treasury Department announced sanctions against 15 individuals and 10 entities in several countries, including China and North Korea, which have been found to have committed serious human rights violations, as well as investment restrictions on a Chinese company found to have used surveillance techniques to assist in human rights violations.",1
